model,accuracy,macro_f1,weighted_f1,train_seconds,train_samples,val_samples
Logistic Regression,0.43433333333333335,0.3226398103035441,0.36789493224684583,1183.9605374336243,250000,120000
Random Forest,0.44495833333333334,0.2938830064261873,0.3440214692512549,108.70981001853943,250000,120000
Majority Class,0.446325,0.20572831140995282,0.27546506577014157,0.020739078521728516,250000,120000
