model,split,loss,accuracy,macro_f1,weighted_f1,down_f1,flat_f1,up_f1,best_epoch,input_dim,hidden_dim,num_layers,dropout,learning_rate
gru_weighted,validation,1.0826879063666686,0.40367209021454453,0.3935095291405592,0.40583464368189387,0.36967589463811035,0.3493378494683362,0.46151484331523096,8,13,128,1,0.3,0.001
gru_weighted,test,1.091211144981559,0.38971348397577904,0.3685188736718252,0.38586042349427346,0.367928674577761,0.2783461344045377,0.45928181203317675,8,13,128,1,0.3,0.001
