model,split,loss,accuracy,macro_f1,weighted_f1,down_f1,flat_f1,up_f1,best_epoch,input_dim,hidden_dim,num_layers,dropout,learning_rate
gru_weighted_market_features,validation,1.1214392672065083,0.39980730346989457,0.38565155167926596,0.3996505775690682,0.328513029227971,0.354158215010142,0.47428341079968483,3,21,128,1,0.3,0.001
gru_weighted_market_features,test,1.1420575986952888,0.38823105892778026,0.36350277381215296,0.3818756333715145,0.35789913776252635,0.2694236619255118,0.46318552174842065,3,21,128,1,0.3,0.001
