model,split,loss,accuracy,macro_f1,weighted_f1,down_f1,flat_f1,up_f1,best_epoch,input_dim,hidden_dim,num_layers,dropout,learning_rate
lstm,validation,1.059315525790321,0.43916896228847485,0.3150789446258134,0.35714618196009024,0.1226564345591341,0.2333121772721218,0.5892682220461843,4,13,64,1,0.2,0.001
lstm,test,1.0644962794917001,0.41180770934869293,0.26598328036508895,0.3005553617628535,0.08930944852957853,0.13755071905076152,0.5710896735149268,4,13,64,1,0.2,0.001
