model,split,loss,accuracy,macro_f1,weighted_f1,down_f1,flat_f1,up_f1,best_epoch,input_dim,hidden_dim,num_layers,dropout,learning_rate
rnn,validation,1.0541362595641315,0.44540310214273116,0.2950987831419325,0.34200048891446194,0.07738871298193332,0.20590672544665053,0.6020009109972136,1,13,64,1,0.2,0.001
rnn,test,1.0656811367935488,0.4143276473194506,0.23673436005952028,0.2756804322876919,0.03814287947475379,0.09192558946253528,0.5801346112412717,1,13,64,1,0.2,0.001
